PlatformID,DateTimeNZST,Load
CAW-2022017-IOT,13/06/2022 08:08:27:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:28:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:29:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:30:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:31:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:32:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:33:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:34:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:35:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:36:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:37:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:38:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:39:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:40:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:41:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:42:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:43:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:44:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:45:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:46:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:47:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:48:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:49:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:50:004,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:51:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:52:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:53:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:54:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:55:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:56:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:57:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:58:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:08:59:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:00:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:01:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:02:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:03:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:04:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:05:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:06:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:07:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:08:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:09:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:10:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:11:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:12:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:13:005,-000000.00
CAW-2022017-IOT,13/06/2022 08:09:14:005,-000000.00
